id,name,members,limit
2,Cannonball,True,11000.0
6,Cannon base,True,70.0
8,Cannon stand,True,70.0
10,Cannon barrels,True,70.0
12,Cannon furnace,True,70.0
28,Insect repellent,True,15.0
30,Bucket of wax,True,15.0
36,Candle,True,40.0
39,Bronze arrowtips,True,10000.0
40,Iron arrowtips,True,10000.0
41,Steel arrowtips,True,10000.0
42,Mithril arrowtips,True,10000.0
43,Adamant arrowtips,True,10000.0
44,Rune arrowtips,True,10000.0
45,Opal bolt tips,True,11000.0
46,Pearl bolt tips,True,11000.0
47,Barb bolttips,True,11000.0
48,Longbow (u),True,10000.0
50,Shortbow (u),True,10000.0
52,Arrow shaft,True,7000.0
53,Headless arrow,True,11000.0
54,Oak shortbow (u),True,10000.0
56,Oak longbow (u),True,10000.0
58,Willow longbow (u),True,10000.0
60,Willow shortbow (u),True,10000.0
62,Maple longbow (u),True,10000.0
64,Maple shortbow (u),True,10000.0
66,Yew longbow (u),True,10000.0
68,Yew shortbow (u),True,10000.0
70,Magic longbow (u),True,10000.0
72,Magic shortbow (u),True,10000.0
91,Guam potion (unf),True,10000.0
93,Marrentill potion (unf),True,10000.0
95,Tarromin potion (unf),True,10000.0
97,Harralander potion (unf),True,10000.0
99,Ranarr potion (unf),True,10000.0
101,Irit potion (unf),True,10000.0
103,Avantoe potion (unf),True,10000.0
105,Kwuarm potion (unf),True,10000.0
107,Cadantine potion (unf),True,10000.0
109,Dwarf weed potion (unf),True,10000.0
111,Torstol potion (unf),True,10000.0
113,Strength potion(4),False,2000.0
115,Strength potion(3),False,2000.0
117,Strength potion(2),False,2000.0
119,Strength potion(1),False,2000.0
121,Attack potion(3),True,2000.0
123,Attack potion(2),True,2000.0
125,Attack potion(1),True,2000.0
127,Restore potion(3),True,2000.0
129,Restore potion(2),True,2000.0
131,Restore potion(1),True,2000.0
133,Defence potion(3),True,2000.0
135,Defence potion(2),True,2000.0
137,Defence potion(1),True,2000.0
139,Prayer potion(3),True,2000.0
141,Prayer potion(2),True,2000.0
143,Prayer potion(1),True,2000.0
145,Super attack(3),True,2000.0
147,Super attack(2),True,2000.0
149,Super attack(1),True,2000.0
151,Fishing potion(3),True,2000.0
153,Fishing potion(2),True,2000.0
155,Fishing potion(1),True,2000.0
157,Super strength(3),True,2000.0
159,Super strength(2),True,2000.0
161,Super strength(1),True,2000.0
163,Super defence(3),True,2000.0
165,Super defence(2),True,2000.0
167,Super defence(1),True,2000.0
169,Ranging potion(3),True,2000.0
171,Ranging potion(2),True,2000.0
173,Ranging potion(1),True,2000.0
175,Antipoison(3),False,2000.0
177,Antipoison(2),False,2000.0
179,Antipoison(1),False,2000.0
181,Superantipoison(3),True,2000.0
183,Superantipoison(2),True,2000.0
185,Superantipoison(1),True,2000.0
187,Weapon poison,True,2000.0
189,Zamorak brew(3),True,2000.0
191,Zamorak brew(2),True,2000.0
193,Zamorak brew(1),True,2000.0
197,Poison chalice,True,2000.0
199,Grimy guam leaf,True,13000.0
201,Grimy marrentill,True,13000.0
203,Grimy tarromin,True,13000.0
205,Grimy harralander,True,13000.0
207,Grimy ranarr weed,True,11000.0
209,Grimy irit leaf,True,13000.0
211,Grimy avantoe,True,13000.0
213,Grimy kwuarm,True,13000.0
215,Grimy cadantine,True,11000.0
217,Grimy dwarf weed,True,11000.0
219,Grimy torstol,True,11000.0
221,Eye of newt,False,13000.0
223,Red spiders' eggs,False,13000.0
225,Limpwurt root,False,13000.0
227,Vial of water,False,13000.0
229,Vial,False,13000.0
231,Snape grass,True,13000.0
233,Pestle and mortar,True,40.0
235,Unicorn horn dust,True,13000.0
237,Unicorn horn,True,13000.0
239,White berries,True,13000.0
241,Dragon scale dust,True,13000.0
243,Blue dragon scale,True,13000.0
245,Wine of zamorak,False,11000.0
247,Jangerberries,True,13000.0
249,Guam leaf,True,13000.0
251,Marrentill,True,13000.0
253,Tarromin,True,13000.0
255,Harralander,True,13000.0
257,Ranarr weed,True,11000.0
259,Irit leaf,True,13000.0
261,Avantoe,True,13000.0
263,Kwuarm,True,13000.0
265,Cadantine,True,11000.0
267,Dwarf weed,True,11000.0
269,Torstol,True,11000.0
272,Fish food,False,15.0
273,Poison (item),False,15.0
288,Goblin mail,False,15.0
299,Mithril seeds,True,18000.0
301,Lobster pot,False,40.0
303,Small fishing net,False,40.0
305,Big fishing net,True,40.0
307,Fishing rod,False,40.0
309,Fly fishing rod,False,40.0
311,Harpoon,False,40.0
313,Fishing bait,False,8000.0
314,Feather,False,30000.0
315,Shrimps,False,6000.0
317,Raw shrimps,False,15000.0
319,Anchovies,False,15000.0
321,Raw anchovies,False,13000.0
325,Sardine,False,6000.0
327,Raw sardine,False,15000.0
329,Salmon,False,6000.0
331,Raw salmon,False,15000.0
333,Trout,False,6000.0
335,Raw trout,False,15000.0
339,Cod,True,6000.0
341,Raw cod,True,15000.0
345,Raw herring,False,15000.0
347,Herring,False,6000.0
349,Raw pike,False,15000.0
351,Pike,False,6000.0
353,Raw mackerel,True,15000.0
355,Mackerel,True,6000.0
359,Raw tuna,False,15000.0
361,Tuna,False,6000.0
363,Raw bass,True,15000.0
365,Bass,True,6000.0
371,Raw swordfish,False,15000.0
373,Swordfish,False,6000.0
377,Raw lobster,False,15000.0
379,Lobster,False,6000.0
383,Raw shark,True,15000.0
385,Shark,True,10000.0
389,Raw manta ray,True,15000.0
391,Manta ray,True,10000.0
395,Raw sea turtle,True,15000.0
397,Sea turtle,True,10000.0
401,Seaweed,True,13000.0
403,Edible seaweed,True,13000.0
405,Casket,True,50.0
407,Oyster,True,11000.0
411,Oyster pearl,True,11000.0
413,Oyster pearls,True,11000.0
426,Priest gown (top),False,150.0
428,Priest gown (bottom),False,150.0
434,Clay,False,13000.0
436,Copper ore,False,13000.0
438,Tin ore,False,13000.0
440,Iron ore,False,13000.0
442,Silver ore,False,13000.0
444,Gold ore,False,30000.0
447,Mithril ore,False,13000.0
449,Adamantite ore,False,4500.0
451,Runite ore,False,4500.0
453,Coal,False,13000.0
464,Strange fruit,True,2000.0
526,Bones,False,3000.0
528,Burnt bones,False,3000.0
530,Bat bones,True,3000.0
532,Big bones,False,3000.0
534,Babydragon bones,True,3000.0
536,Dragon bones,True,7500.0
538,Druid's robe,True,125.0
540,Druid's robe top,True,125.0
542,Monk's robe,False,125.0
544,Monk's robe top,False,125.0
546,Shade robe top,False,125.0
548,Shade robe,False,125.0
554,Fire rune,False,50000.0
555,Water rune,False,50000.0
556,Air rune,False,50000.0
557,Earth rune,False,50000.0
558,Mind rune,False,12000.0
559,Body rune,False,12000.0
560,Death rune,False,25000.0
561,Nature rune,False,12000.0
562,Chaos rune,False,12000.0
563,Law rune,False,12000.0
564,Cosmic rune,False,12000.0
565,Blood rune,True,25000.0
566,Soul rune,True,25000.0
567,Unpowered orb,True,10000.0
569,Fire orb,True,11000.0
571,Water orb,True,11000.0
573,Air orb,True,11000.0
575,Earth orb,True,11000.0
577,Blue wizard robe,False,125.0
579,Blue wizard hat,False,125.0
581,Black robe,False,125.0
590,Tinderbox,False,40.0
592,Ashes,False,13000.0
596,Unlit torch,True,40.0
621,Ship ticket,True,18000.0
626,Pink boots,True,150.0
628,Green boots,True,150.0
630,Blue boots,True,150.0
632,Cream boots,True,150.0
634,Turquoise boots,True,150.0
636,Pink robe top,True,150.0
638,Green robe top,True,150.0
640,Blue robe top,True,150.0
642,Cream robe top,True,150.0
644,Turquoise robe top,True,150.0
646,Pink robe bottoms,True,150.0
648,Green robe bottoms,True,150.0
650,Blue robe bottoms,True,150.0
652,Cream robe bottoms,True,150.0
654,Turquoise robe bottoms,True,150.0
656,Pink hat,True,150.0
658,Green hat,True,150.0
660,Blue hat,True,150.0
662,Cream hat,True,150.0
664,Turquoise hat,True,150.0
751,Gnomeball,True,150.0
